,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
54,0.0,2970.0,106.73679561035902,88.0,10.0,33.14846703143092,3000.0,600000.0,30.0,0.01,202.020202020202,200.0,96.73679561035902
55,0.0,2700.0,108.90370273886498,88.0,10.0,37.91100782573354,3000.0,600000.0,300.0,0.1,222.22222222222223,200.0,98.90370273886498
56,0.0,2100.0,114.59590658693264,88.0,10.0,45.369335533374056,3000.0,600000.0,900.0,0.3,285.7142857142857,200.0,104.59590658693264
57,0.0,1200.0,130.59216095698517,88.0,10.0,51.33903639564295,3000.0,600000.0,1800.0,0.6,500.0,200.0,120.59216095698517
58,0.0,299.99999999999994,128.5764189072059,88.0,10.0,58.86738548986984,3000.0,600000.0,2700.0,0.9,2000.0000000000005,200.0,118.57641890720589
59,0.0,30.00000000000003,131.09689143717372,88.0,10.0,60.04074776401971,3000.0,600000.0,2970.0,0.99,19999.99999999998,200.0,121.09689143717372
60,0.0,2970.0,182.1404849400824,88.0,10.0,18.096653303641013,3000.0,1500000.0,30.0,0.01,505.050505050505,500.0,172.1404849400824
61,0.0,2700.0,184.98563834079204,88.0,10.0,23.29713730760156,3000.0,1500000.0,300.0,0.1,555.5555555555555,500.0,174.98563834079204
62,0.0,2100.0,191.73214497013677,88.0,10.0,31.05072404414315,3000.0,1500000.0,900.0,0.3,714.2857142857143,500.0,181.73214497013677
63,0.0,1200.0,205.0221370550992,88.0,10.0,36.611707105231815,3000.0,1500000.0,1800.0,0.6,1250.0,500.0,195.0221370550992
64,0.0,299.99999999999994,211.70127886988087,88.0,10.0,47.342373411192256,3000.0,1500000.0,2700.0,0.9,5000.000000000001,500.0,201.70127886988087
65,0.0,30.00000000000003,215.02101863774087,88.0,10.0,48.79110728049026,3000.0,1500000.0,2970.0,0.99,49999.99999999995,500.0,205.02101863774087
66,0.0,2970.0,303.8706892277362,88.0,10.0,-6.553076756812107,3000.0,3000000.0,30.0,0.01,1010.10101010101,1000.0,293.8706892277362
67,0.0,2700.0,308.1693953407805,88.0,10.0,-1.0136334629744237,3000.0,3000000.0,300.0,0.1,1111.111111111111,1000.0,298.1693953407805
68,0.0,2100.0,318.12429258346407,88.0,10.0,6.911774479687528,3000.0,3000000.0,900.0,0.3,1428.571428571429,1000.0,308.12429258346407
69,0.0,1200.0,335.61981928655285,88.0,10.0,13.300444226136872,3000.0,3000000.0,1800.0,0.6,2500.0,1000.0,325.61981928655285
70,0.0,299.99999999999994,349.763642306866,88.0,10.0,28.174282064570814,3000.0,3000000.0,2700.0,0.9,10000.000000000002,1000.0,339.763642306866
71,0.0,30.00000000000003,354.89377300551695,88.0,10.0,30.419719721210875,3000.0,3000000.0,2970.0,0.99,99999.9999999999,1000.0,344.89377300551695
72,0.0,6435.0,167.58357600823277,88.0,10.0,62.629146815554414,6500.0,130000.0,65.0,0.01,20.2020202020202,20.0,157.58357600823277
73,0.0,5850.0,170.29809194064003,88.0,10.0,65.57578574357878,6500.0,130000.0,650.0,0.1,22.22222222222222,20.0,160.29809194064003
74,0.0,4550.0,176.37312700224166,88.0,10.0,70.2176883291736,6500.0,130000.0,1950.0,0.3,28.571428571428573,20.0,166.37312700224166
75,0.0,2600.0,189.75718396002625,88.0,10.0,74.54187053708311,6500.0,130000.0,3900.0,0.6,50.0,20.0,179.75718396002625
76,0.0,649.9999999999999,192.26779397150528,88.0,10.0,76.76979489011055,6500.0,130000.0,5850.0,0.9,200.00000000000003,20.0,182.26779397150528
77,0.0,65.00000000000006,198.64677741366413,88.0,10.0,77.32265794372461,6500.0,130000.0,6435.0,0.99,1999.9999999999984,20.0,188.64677741366413
78,0.0,6435.0,224.2142422171497,88.0,10.0,53.50741321769494,6500.0,1300000.0,65.0,0.01,202.020202020202,200.0,214.2142422171497
79,0.0,5850.0,231.19508987369716,88.0,10.0,56.62444876926914,6500.0,1300000.0,650.0,0.1,222.22222222222223,200.0,221.19508987369716
80,0.0,4550.0,247.29478224403584,88.0,10.0,61.20353999866599,6500.0,1300000.0,1950.0,0.3,285.7142857142857,200.0,237.29478224403584
81,0.0,2600.0,280.0242425893177,88.0,10.0,63.72146294601133,6500.0,1300000.0,3900.0,0.6,500.0,200.0,270.0242425893177
82,0.0,649.9999999999999,299.4081064800925,88.0,10.0,69.48043101192073,6500.0,1300000.0,5850.0,0.9,2000.0000000000005,200.0,289.4081064800925
83,0.0,65.00000000000006,308.7479132161785,88.0,10.0,70.075096722481,6500.0,1300000.0,6435.0,0.99,19999.99999999998,200.0,298.7479132161785
84,0.0,6435.0,411.5150167616689,88.0,10.0,31.824927004683385,6500.0,3250000.0,65.0,0.01,505.050505050505,500.0,401.5150167616689
85,0.0,5850.0,421.50729130686807,88.0,10.0,35.93148758052799,6500.0,3250000.0,650.0,0.1,555.5555555555555,500.0,411.50729130686807
86,0.0,4550.0,445.32367743292906,88.0,10.0,42.29471328198562,6500.0,3250000.0,1950.0,0.3,714.2857142857143,500.0,435.32367743292906
87,0.0,2600.0,488.5227534617831,88.0,10.0,44.80339237030671,6500.0,3250000.0,3900.0,0.6,1250.0,500.0,478.5227534617831
88,0.0,297.0,176.22948264654832,88.0,60.0,9.604800094462613,300.0,6000.0,3.0,0.01,20.2020202020202,20.0,116.22948264654832
89,0.0,270.0,179.21334514976417,88.0,60.0,10.608078704387166,300.0,6000.0,30.0,0.1,22.22222222222222,20.0,119.21334514976417
90,0.0,210.0,185.99642103011607,88.0,60.0,13.187407327484612,300.0,6000.0,90.0,0.3,28.571428571428573,20.0,125.99642103011607
91,0.0,120.0,196.98360137401693,88.0,60.0,16.610133368584822,300.0,6000.0,180.0,0.6,50.0,20.0,136.98360137401693
92,0.0,29.999999999999996,208.01363432108388,88.0,60.0,8.709824040257901,300.0,6000.0,270.0,0.9,200.00000000000009,20.0,148.01363432108388
93,0.0,3.0000000000000027,212.32889106038903,88.0,60.0,9.051260717143776,300.0,6000.0,297.0,0.99,1999.9999999999984,20.0,152.32889106038903
94,0.0,297.0,159.3610377159466,88.0,60.0,-4.848818890641724,300.0,60000.0,3.0,0.01,202.020202020202,200.0,99.3610377159466
95,0.0,270.0,160.94507798094725,88.0,60.0,-3.709222836363896,300.0,60000.0,30.0,0.1,222.22222222222223,200.0,100.94507798094725
96,0.0,210.0,164.2955552902291,88.0,60.0,-1.2418967099774114,300.0,60000.0,90.0,0.3,285.7142857142857,200.0,104.29555529022909
97,0.0,120.0,168.98204073811317,88.0,60.0,3.285058926311496,300.0,60000.0,180.0,0.6,500.0,200.0,108.98204073811317
98,0.0,29.999999999999996,171.3035071228381,88.0,60.0,3.8271418775529233,300.0,60000.0,270.0,0.9,2000.0000000000005,200.0,111.30350712283811
99,0.0,3.0000000000000027,171.6896915425342,88.0,60.0,4.7019864546788765,300.0,60000.0,297.0,0.99,19999.99999999998,200.0,111.6896915425342
100,0.0,297.0,108.29786361618244,88.0,60.0,-6.054374968049712,300.0,150000.0,3.0,0.01,505.050505050505,500.0,48.29786361618244
101,0.0,270.0,109.2968021047899,88.0,60.0,-4.944504070219443,300.0,150000.0,30.0,0.1,555.5555555555555,500.0,49.296802104789904
102,0.0,210.0,112.76769856243864,88.0,60.0,-3.2361798319850776,300.0,150000.0,90.0,0.3,714.2857142857143,500.0,52.76769856243864
103,0.0,120.0,117.3380293034468,88.0,60.0,2.826497128383864,300.0,150000.0,180.0,0.6,1250.0,500.0,57.3380293034468
